"position";"roster.name";"sort_order";"cost";"edition"
"2 bloodweiser babes";"Amazon Team of Legend";11;100;"bb2020"
"Star player Mighty Zug";"Amazon Team of Legend";12;260;"bb2020"
"Star player Morg 'n' Thorg";"Amazon Team of Legend";13;380;"bb2020"
"Star player Grombrindal";"Amazon Team of Legend";14;210;"bb2020"
"the White Dwarf";"Amazon Team of Legend";15;210;"bb2020"
"Star player Zolcath the Zoat";"Amazon Team of Legend";16;230;"bb2020"
"1 bribe";"Amazon Team of Legend";17;100;"bb2020"
"cheerleaders";"Amazon Team of Legend";18;10;"bb2020"
"assistantCoaches";"Amazon Team of Legend";19;10;"bb2020"
"Goblin Bruiser Lineman";"Black Orc";1;45;"bb2020"
"Goblin Bruiser";"Black Orc";1;45;"bb2025"
"Black Orc";"Black Orc";2;90;"bb2020"
"Black Orc";"Black Orc";2;90;"bb2025"
"Trained Troll";"Black Orc";3;115;"bb2020"
"Trained Troll";"Black Orc";3;115;"bb2025"
"Star player Bomber Dribblesnot";"Black Orc";4;50;"bb2020"
"Star player Bomber Dribblesnot";"Black Orc";4;50;"bb2025"
"apothecary";"Black Orc";5;50;"bb2020"
"rerolls";"Black Orc";5;60;"bb2020"
"apothecary";"Black Orc";5;50;"bb2025"
"rerolls";"Black Orc";5;60;"bb2025"
"1 bribe";"Black Orc";6;50;"bb2020"
"1 bribe";"Black Orc";6;50;"bb2025"
"bribes";"Black Orc";6;50;"bb2025"
"assistantCoaches";"Black Orc";9;10;"bb2020"
"assistantCoaches";"Black Orc";9;10;"bb2025"
"1 part-time assistant coach";"Black Orc";10;20;"bb2020"
"1 part-time assistant coach";"Black Orc";10;20;"bb2025"
"2 bribes";"Black Orc";11;100;"bb2020"
"3 part-time assistant coaches";"Black Orc";11;60;"bb2020"
"2 bribes";"Black Orc";11;100;"bb2025"
"3 part-time assistant coaches";"Black Orc";11;60;"bb2025"
"3 bribes";"Black Orc";12;150;"bb2020"
"3 bribes";"Black Orc";12;150;"bb2025"
"Star player Fungus the Loon";"Black Orc";13;80;"bb2020"
"Star player Fungus the Loon";"Black Orc";13;80;"bb2025"
"Star player The Black Gobbo";"Black Orc";14;225;"bb2020"
"Star player The Black Gobbo";"Black Orc";14;225;"bb2025"
"Star player Varag Ghoul-Chewer";"Black Orc";15;280;"bb2020"
"Star player Varag Ghoul-Chewer";"Black Orc";15;280;"bb2025"
"Star player Scrappa Sorehead";"Black Orc";16;130;"bb2020"
"Star player Scrappa Sorehead";"Black Orc";16;130;"bb2025"
"Star player Ripper Bolgrot";"Black Orc";17;250;"bb2020"
"Star player Ripper Bolgrot";"Black Orc";17;250;"bb2025"
"Star player Nobbla Blackwart";"Black Orc";18;120;"bb2020"
"Star player Nobbla Blackwart";"Black Orc";18;120;"bb2025"
"Star player H'Thark the Unstoppable";"Black Orc";19;300;"bb2020"
"Star player H'Thark the Unstoppable";"Black Orc";19;300;"bb2025"
"cheerleaders";"Black Orc";20;10;"bb2020"
"cheerleaders";"Black Orc";20;10;"bb2025"
"Bretonnian Squire";"Bretonnian";1;50;"bb2025"
"Bretonnian Knight Catcher";"Bretonnian";2;85;"bb2025"
"Bretonnian Knight Thrower";"Bretonnian";3;80;"bb2025"
"Grail Knight";"Bretonnian";4;95;"bb2025"
"rerolls";"Bretonnian";7;60;"bb2025"
"1 bribe";"Bretonnian";8;100;"bb2025"
"1 bloodweiser keg";"Bretonnian";9;50;"bb2025"
"apothecary";"Bretonnian";10;50;"bb2025"
"assistantCoaches";"Bretonnian";11;10;"bb2025"
"1 team mascot";"Bretonnian";12;25;"bb2025"
"cheerleaders";"Bretonnian";20;10;"bb2025"
"Star player Mighty Zug";"Bretonnian";21;220;"bb2025"
"Star player Skrorg Snowpelt";"Bretonnian";22;240;"bb2025"
"Beastman Runner Lineman";"Chaos Chosen";1;60;"bb2020"
"Beastmen Lineman";"Chaos Chosen";1;60;"bb2025"
"Beastman Lineman";"Chaos Chosen";1;60;"bb2025"
"Beastman Runner Lineman";"Chaos Chosen";1;60;"bb2025"
"Chosen Blocker";"Chaos Chosen";2;100;"bb2020"
"Chaos Chosen";"Chaos Chosen";2;100;"bb2025"
"Chaos Ogre";"Chaos Chosen";3;140;"bb2020"
"Ogre";"Chaos Chosen";3;140;"bb2025"
"Chaos Troll";"Chaos Chosen";4;115;"bb2020"
"Troll";"Chaos Chosen";4;115;"bb2025"
"Chaos Troll";"Chaos Chosen";4;115;"bb2025"
"Minotaur";"Chaos Chosen";5;150;"bb2020"
"Minotaur";"Chaos Chosen";5;150;"bb2025"
"apothecary";"Chaos Chosen";6;50;"bb2020"
"apothecary";"Chaos Chosen";6;50;"bb2025"
"rerolls";"Chaos Chosen";7;60;"bb2020"
"rerolls";"Chaos Chosen";7;60;"bb2025"
"assistantCoaches";"Chaos Chosen";9;10;"bb2020"
"assistantCoaches";"Chaos Chosen";9;10;"bb2025"
"1 bloodweiser keg";"Chaos Chosen";10;50;"bb2020"
"1 bloodweiser keg";"Chaos Chosen";10;50;"bb2025"
"1 bribe";"Chaos Chosen";11;100;"bb2020"
"1 bribe";"Chaos Chosen";11;100;"bb2025"
"Star player Hakflem Skuttlespike";"Chaos Chosen";12;210;"bb2020"
"Star player Hakflem Skuttlespike";"Chaos Chosen";12;210;"bb2025"
"Star player Skitter Stab-Stab";"Chaos Chosen";13;150;"bb2020"
"Star player Skitter Stab-Stab";"Chaos Chosen";13;150;"bb2025"
"Star player Lord Borak the Despoiler";"Chaos Chosen";14;260;"bb2020"
"Star player Lord Borak the Despoiler";"Chaos Chosen";14;260;"bb2025"
"Star player H'Thark the Unstoppable";"Chaos Chosen";15;300;"bb2020"
"Star player H'Thark the Unstoppable";"Chaos Chosen";15;300;"bb2025"
"Star player Grashnak Blackhoof";"Chaos Chosen";16;240;"bb2020"
"Star player Grashnak Blackhoof";"Chaos Chosen";16;240;"bb2025"
"Star player Glart Smashrip";"Chaos Chosen";17;195;"bb2020"
"Star player Glart Smashrip";"Chaos Chosen";17;195;"bb2025"
"cheerleaders";"Chaos Chosen";20;10;"bb2020"
"cheerleaders";"Chaos Chosen";20;10;"bb2025"
"Hobgoblin Lineman";"Chaos Dwarf";1;40;"bb2020"
"Hobgoblin Lineman";"Chaos Dwarf";1;40;"bb2025"
"Hobgoblin Sneaky Stabba";"Chaos Dwarf";2;70;"bb2020"
"Sneaky Stabba";"Chaos Dwarf";2;70;"bb2025"
"Chaos Dwarf Blocker";"Chaos Dwarf";3;70;"bb2020"
"Chaos Dwarf Blocker";"Chaos Dwarf";3;70;"bb2025"
"Chaos Dwarf Flamesmith";"Chaos Dwarf";4;80;"bb2020"
"Flamesmith";"Chaos Dwarf";4;80;"bb2025"
"Bull Centaur Blitzer";"Chaos Dwarf";5;130;"bb2020"
"Bull Centaur";"Chaos Dwarf";5;130;"bb2025"
"Bull Centaur Blitzer";"Chaos Dwarf";5;130;"bb2025"
"Enslaved Minotaur";"Chaos Dwarf";6;150;"bb2020"
"Minotaur";"Chaos Dwarf";6;150;"bb2020"
"Minotaur";"Chaos Dwarf";6;150;"bb2025"
"rerolls";"Chaos Dwarf";7;70;"bb2020"
"cheerleaders";"Chaos Dwarf";7;10;"bb2020"
"rerolls";"Chaos Dwarf";7;70;"bb2025"
"cheerleaders";"Chaos Dwarf";7;10;"bb2025"
"apothecary";"Chaos Dwarf";8;50;"bb2020"
"apothecary";"Chaos Dwarf";8;50;"bb2025"
"1 halfling master chef";"Chaos Dwarf";9;300;"bb2020"
"1 halfling master chef";"Chaos Dwarf";9;300;"bb2025"
"1 bribe";"Chaos Dwarf";10;100;"bb2020"
"1 bribe";"Chaos Dwarf";10;100;"bb2025"
"assistantCoaches";"Chaos Dwarf";11;10;"bb2020"
"assistantCoaches";"Chaos Dwarf";11;10;"bb2025"
"1 team mascot";"Chaos Dwarf";12;25;"bb2025"
"Star player Bomber Dribblesnot";"Chaos Dwarf";12;50;"bb2020"
"Star player H'Thark the Unstoppable";"Chaos Dwarf";13;300;"bb2020"
"Star player H'Thark the Unstoppable";"Chaos Dwarf";13;300;"bb2025"
"Star player Hakflem Skuttlespike";"Chaos Dwarf";14;210;"bb2020"
"Star player Hakflem Skuttlespike";"Chaos Dwarf";14;210;"bb2025"
"Star player Lord Borak the Despoiler";"Chaos Dwarf";15;260;"bb2020"
"Star player Lord Borak the Despoiler";"Chaos Dwarf";15;260;"bb2025"
"dedicated_fans";"Chaos Dwarf";20;5;"bb2025"
"Star player Bomber Dribblesnot";"Chaos Dwarf";21;50;"bb2025"
"Renegade Human Lineman";"Chaos Renegade";1;50;"bb2020"
"Renegade Human";"Chaos Renegade";1;50;"bb2025"
"Renegade Human Thrower";"Chaos Renegade";2;75;"bb2020"
"Renegade Human Thrower";"Chaos Renegade";2;75;"bb2025"
"Renegade Goblin";"Chaos Renegade";3;40;"bb2020"
"Renegade Goblin";"Chaos Renegade";3;40;"bb2025"
"Renegade Orc";"Chaos Renegade";4;50;"bb2020"
"Renegade Orc";"Chaos Renegade";4;50;"bb2025"
"Renegade Skaven";"Chaos Renegade";5;50;"bb2020"
"Renegade Skaven";"Chaos Renegade";5;50;"bb2025"
"Renegade Dark Elf";"Chaos Renegade";6;75;"bb2020"
"Renegade Dark Elf";"Chaos Renegade";6;75;"bb2025"
"Renegade Troll";"Chaos Renegade";7;115;"bb2020"
"Troll";"Chaos Renegade";7;115;"bb2025"
"Renegade Ogre";"Chaos Renegade";8;140;"bb2020"
"1 bloodweiser keg";"Chaos Renegade";8;50;"bb2020"
"Ogre";"Chaos Renegade";8;140;"bb2025"
"1 bloodweiser keg";"Chaos Renegade";8;50;"bb2025"
"Renegade Minotaur";"Chaos Renegade";9;150;"bb2020"
"Minotaur";"Chaos Renegade";9;150;"bb2025"
"Renegade Rat Ogre";"Chaos Renegade";10;150;"bb2020"
"Rat Ogre";"Chaos Renegade";10;150;"bb2025"
"Star player Akhorne the Squirrel";"Chaos Renegade";11;80;"bb2020"
"Star player Kreek Rustgouger";"Chaos Renegade";11;170;"bb2020"
"Star player Akhorne the Squirrel";"Chaos Renegade";11;80;"bb2025"
"Star player Kreek Rustgouger";"Chaos Renegade";11;170;"bb2025"
"Star player Hakflem Skuttlespike";"Chaos Renegade";12;210;"bb2020"
"Star player Hakflem Skuttlespike";"Chaos Renegade";12;210;"bb2025"
"Star player Lord Borak the Despoiler";"Chaos Renegade";13;260;"bb2020"
"Star player Lord Borak the Despoiler";"Chaos Renegade";13;260;"bb2025"
"Star player Scyla Anfingrimm";"Chaos Renegade";14;200;"bb2020"
"Star player Bilerot Vomitflesh";"Chaos Renegade";14;180;"bb2020"
"Star player Scyla Anfingrimm";"Chaos Renegade";14;200;"bb2025"
"Star player Bilerot Vomitflesh";"Chaos Renegade";14;180;"bb2025"
"apothecary";"Chaos Renegade";15;50;"bb2020"
"apothecary";"Chaos Renegade";15;50;"bb2025"
"rerolls";"Chaos Renegade";16;70;"bb2020"
"rerolls";"Chaos Renegade";16;70;"bb2025"
"assistantCoaches";"Chaos Renegade";17;10;"bb2020"
"assistantCoaches";"Chaos Renegade";17;10;"bb2025"
"1 bribe";"Chaos Renegade";18;100;"bb2020"
"1 bribe";"Chaos Renegade";18;100;"bb2025"
"cheerleaders";"Chaos Renegade";20;10;"bb2020"
"cheerleaders";"Chaos Renegade";20;10;"bb2025"
"Dark Elf Lineman";"Dark Elf";1;70;"bb2020"
"Dark Elf Lineman";"Dark Elf";1;70;"bb2025"
"Runner";"Dark Elf";2;80;"bb2020"
"Dark Elf Runner";"Dark Elf";2;80;"bb2025"
"Blitzer";"Dark Elf";3;100;"bb2020"
"Dark Elf Blitzer";"Dark Elf";3;100;"bb2025"
"Assassin";"Dark Elf";4;85;"bb2020"
"Dark Elf Assassin";"Dark Elf";4;85;"bb2025"
"Witch Elf";"Dark Elf";5;110;"bb2020"
"Witch Elf";"Dark Elf";5;110;"bb2025"
"apothecary";"Dark Elf";6;50;"bb2020"
"apothecary";"Dark Elf";6;50;"bb2025"
"rerolls";"Dark Elf";7;50;"bb2020"
"rerolls";"Dark Elf";7;50;"bb2025"
"assistantCoaches";"Dark Elf";9;10;"bb2020"
"assistantCoaches";"Dark Elf";9;10;"bb2025"
"1 bloodweiser keg";"Dark Elf";10;50;"bb2020"
"1 bloodweiser keg";"Dark Elf";10;50;"bb2025"
"1 bribe";"Dark Elf";11;100;"bb2020"
"1 bribe";"Dark Elf";11;100;"bb2025"
"1 team mascot";"Dark Elf";12;25;"bb2025"
"cheerleaders";"Dark Elf";20;10;"bb2020"
"cheerleaders";"Dark Elf";20;10;"bb2025"
"Dwarf Blocker Lineman";"Dwarf";1;70;"bb2020"
"Dwarf Lineman";"Dwarf";1;70;"bb2025"
"Dwarf Blocker Lineman";"Dwarf";1;70;"bb2025"
"Runner";"Dwarf";2;85;"bb2020"
"Dwarf Runner";"Dwarf";2;85;"bb2025"
"Blitzer";"Dwarf";3;80;"bb2020"
"Dwarf Blitzer";"Dwarf";3;80;"bb2025"
"Troll Slayer";"Dwarf";4;95;"bb2020"
"Troll Slayer";"Dwarf";4;95;"bb2025"
"Deathroller";"Dwarf";5;170;"bb2020"
"Deathroller";"Dwarf";5;170;"bb2025"
"rerolls";"Dwarf";6;50;"bb2020"
"rerolls";"Dwarf";6;60;"bb2025"
"apothecary";"Dwarf";7;50;"bb2020"
"apothecary";"Dwarf";7;50;"bb2025"
"assistantCoaches";"Dwarf";9;10;"bb2020"
"assistantCoaches";"Dwarf";9;10;"bb2025"
"1 bribe";"Dwarf";11;100;"bb2020"
"1 bloodweiser keg";"Dwarf";11;50;"bb2020"
"1 bribe";"Dwarf";11;100;"bb2025"
"1 bloodweiser keg";"Dwarf";11;50;"bb2025"
"Bribes";"Dwarf";11;50;"bb2025"
"1 halfling master chef";"Dwarf";12;300;"bb2020"
"1 halfling master chef";"Dwarf";12;300;"bb2025"
"2 bribes";"Dwarf";13;200;"bb2020"
"2 bribes";"Dwarf";13;100;"bb2025"
"1 team mascot";"Dwarf";14;25;"bb2025"
"Star player Mighty Zug";"Dwarf";14;220;"bb2020"
"Star player Karla Von Kill";"Dwarf";15;210;"bb2020"
"cheerleaders";"Dwarf";20;10;"bb2020"
"cheerleaders";"Dwarf";20;10;"bb2025"
"Star player Mighty Zug";"Dwarf";21;220;"bb2025"
"Star player Karla Von Kill";"Dwarf";22;210;"bb2025"
"Lineman";"Elven Union";1;60;"bb2020"
"Elf Lineman";"Elven Union";1;60;"bb2025"
"Thrower";"Elven Union";2;75;"bb2020"
"Elf Thrower";"Elven Union";2;75;"bb2025"
"Catcher";"Elven Union";3;100;"bb2020"
"Elf Catcher";"Elven Union";3;100;"bb2025"
"Blitzer";"Elven Union";4;115;"bb2020"
"Elf Blitzer";"Elven Union";4;115;"bb2025"
"Star player Eldril Sidewinder";"Elven Union";5;230;"bb2020"
"Star player Eldril Sidewinder";"Elven Union";5;230;"bb2025"
"rerolls";"Elven Union";6;50;"bb2020"
"rerolls";"Elven Union";6;50;"bb2025"
"assistantCoaches";"Elven Union";9;10;"bb2020"
"assistantCoaches";"Elven Union";9;10;"bb2025"
"1 bribe";"Elven Union";10;100;"bb2020"
"1 bribe";"Elven Union";10;100;"bb2025"
"apothecary";"Elven Union";11;50;"bb2020"
"apothecary";"Elven Union";11;50;"bb2025"
"Star player Roxanna Darknail";"Elven Union";12;270;"bb2020"
"cheerleaders";"Elven Union";20;10;"bb2020"
"cheerleaders";"Elven Union";20;10;"bb2025"
"Star player Lucien Swift";"Elven Union";21;300;"bb2025"
"Star player Valen Swift";"Elven Union";22;300;"bb2025"
"Star player Roxanna Darknail";"Elven Union";23;270;"bb2025"
"Gnome Lineman";"Gnome";1;40;"bb2020"
"Gnome Lineman";"Gnome";1;40;"bb2025"
"Gnome Illusionist";"Gnome";2;50;"bb2020"
"Gnome Illusionist";"Gnome";2;50;"bb2025"
"Gnome Beastmaster";"Gnome";3;55;"bb2020"
"Gnome Beastmaster";"Gnome";3;55;"bb2025"
"Woodland Fox";"Gnome";4;50;"bb2020"
"Woodland Fox";"Gnome";4;50;"bb2025"
"Altern Forest Treeman";"Gnome";5;120;"bb2020"
"Altern Forest Treeman";"Gnome";5;120;"bb2025"
"rerolls";"Gnome";7;50;"bb2020"
"rerolls";"Gnome";7;50;"bb2025"
"1 bloodweiser keg";"Gnome";8;50;"bb2020"
"1 bloodweiser keg";"Gnome";8;50;"bb2025"
"Star player Grombrindal";"Gnome";12;210;"bb2020"
"the White Dwarf";"Gnome";12;210;"bb2020"
"Star player Grombrindal";"Gnome";12;210;"bb2025"
"the White Dwarf";"Gnome";12;210;"bb2025"
"Star player Maple Highgrove";"Gnome";13;210;"bb2020"
"Star player Maple Highgrove";"Gnome";13;210;"bb2025"
"apothecary";"Gnome";15;50;"bb2020"
"apothecary";"Gnome";15;50;"bb2025"
"assistantCoaches";"Gnome";16;10;"bb2020"
"assistantCoaches";"Gnome";16;10;"bb2025"
"cheerleaders";"Gnome";17;10;"bb2020"
"cheerleaders";"Gnome";17;10;"bb2025"
"Star player Rumbelow Sheepskin";"Gnome";21;170;"bb2025"
"Goblin Lineman";"Goblin";1;40;"bb2020"
"Goblin Lineman";"Goblin";1;40;"bb2025"
"Bomma";"Goblin";2;45;"bb2020"
"Bomma";"Goblin";2;45;"bb2025"
"Looney";"Goblin";3;40;"bb2020"
"Looney";"Goblin";3;40;"bb2025"
"Fanatic";"Goblin";4;70;"bb2020"
"Fanatic";"Goblin";4;70;"bb2025"
"Pogoer";"Goblin";5;75;"bb2020"
"Pogoer";"Goblin";5;75;"bb2025"
"'Ooligan";"Goblin";6;65;"bb2020"
"'Ooligan";"Goblin";6;65;"bb2025"
"Doom Diver";"Goblin";7;60;"bb2020"
"Doom Diver";"Goblin";7;60;"bb2025"
"Trained Troll";"Goblin";8;115;"bb2020"
"Trained Troll";"Goblin";8;115;"bb2025"
"1 bribe";"Goblin";14;100;"bb2020"
"1 bribe";"Goblin";14;50;"bb2025"
"2 bribes";"Goblin";15;200;"bb2020"
"2 bribes";"Goblin";15;100;"bb2025"
"Star player Bomber Dribblesnot";"Goblin";16;50;"bb2020"
"3 bribes";"Goblin";16;150;"bb2020"
"3 bribes";"Goblin";16;150;"bb2025"
"Star player Crumbleberry";"Goblin";17;125;"bb2020"
"rerolls";"Goblin";17;60;"bb2020"
"rerolls";"Goblin";17;60;"bb2025"
"Star player Grak";"Goblin";18;125;"bb2020"
"assistantCoaches";"Goblin";18;10;"bb2020"
"Star player Grak";"Goblin";18;125;"bb2025"
"assistantCoaches";"Goblin";18;10;"bb2025"
"cheerleaders";"Goblin";18;10;"bb2025"
"1 biased referee";"Goblin";19;80;"bb2025"
"Star player Hakflem Skuttlespike";"Goblin";19;210;"bb2020"
"Star player Morg 'n' Thorg";"Goblin";19;380;"bb2020"
"Star player The Black Gobbo";"Goblin";19;225;"bb2020"
"Star player Varag Ghoul-Chewer";"Goblin";19;280;"bb2020"
"cheerleaders";"Goblin";19;10;"bb2020"
"Star player Glart Smashrip";"Goblin";20;195;"bb2020"
"1 halfling master chef";"Goblin";20;300;"bb2020"
"Star player Fungus the Loon";"Goblin";21;80;"bb2020"
"Star player Fungus the Loon";"Goblin";21;80;"bb2025"
"Star player The Black Gobbo";"Goblin";22;225;"bb2025"
"Star player Kreek Rustgouger";"Goblin";22;170;"bb2020"
"Star player Varag Ghoul-Chewer";"Goblin";23;280;"bb2025"
"Star player Bomber Dribblesnot";"Goblin";24;50;"bb2025"
"Star player Crumbleberry";"Goblin";25;125;"bb2025"
"Star player Hakflem Skuttlespike";"Goblin";26;210;"bb2025"
"Star player Glart Smashrip";"Goblin";27;195;"bb2025"
"1 halfling master chef";"Goblin";28;300;"bb2025"
"Star player Morg 'n' Thorg";"Goblin";29;380;"bb2025"
"Star player Kreek Rustgouger";"Goblin";30;170;"bb2025"
"Halfling Hopeful Lineman";"Halfling";1;30;"bb2020"
"Halfling Hopeful";"Halfling";1;30;"bb2025"
"Halfling Hefty";"Halfling";2;50;"bb2020"
"Halfling Hefty";"Halfling";2;50;"bb2025"
"Halfling Catcher";"Halfling";3;55;"bb2020"
"Halfling Catcher";"Halfling";3;55;"bb2025"
"Altern Forest Treeman";"Halfling";4;120;"bb2020"
"Altern Forest Treeman";"Halfling";4;120;"bb2025"
"1 halfling master chef";"Halfling";8;100;"bb2020"
"1 halfling master chef";"Halfling";8;100;"bb2025"
"HalflingMasterChef";"Halfling";8;100;"bb2025"
"rerolls";"Halfling";10;60;"bb2020"
"rerolls";"Halfling";10;60;"bb2025"
"1 bloodweiser keg";"Halfling";11;50;"bb2020"
"assistantCoaches";"Halfling";11;10;"bb2020"
"cheerleaders";"Halfling";11;10;"bb2020"
"BlitzerBestKeg";"Halfling";11;50;"bb2025"
"assistantCoaches";"Halfling";11;10;"bb2025"
"cheerleaders";"Halfling";11;10;"bb2025"
"TempAgencyCheerleaders";"Halfling";11;10;"bb2025"
"apothecary";"Halfling";12;50;"bb2020"
"apothecary";"Halfling";12;50;"bb2025"
"1 bribe";"Halfling";13;100;"bb2025"
"Star player Deeproot Strongbranch";"Halfling";13;280;"bb2020"
"Star player Grim Ironjaw";"Halfling";14;200;"bb2020"
"Star player Grombrindal";"Halfling";15;210;"bb2020"
"Star player Ivar Eriksson";"Halfling";16;245;"bb2020"
"Mercenary Merc Halfling Hopeful Lineman 1";"Halfling";17;60;"bb2020"
"Star player Karla Von Kill";"Halfling";17;210;"bb2020"
"Star player Rumbelow Sheepskin";"Halfling";18;170;"bb2020"
"the White Dwarf";"Halfling";19;210;"bb2020"
"Star player Griff Oberwald";"Halfling";20;280;"bb2020"
"Star player Griff Oberwald";"Halfling";20;280;"bb2025"
"Star player Morg 'n' Thorg";"Halfling";21;380;"bb2020"
"Star player Morg 'n' Thorg";"Halfling";21;380;"bb2025"
"Star player Rodney Roachbait";"Halfling";22;70;"bb2020"
"Star player Rodney Roachbait";"Halfling";22;70;"bb2025"
"Star player Deeproot Strongbranch";"Halfling";23;280;"bb2025"
"Star player Grim Ironjaw";"Halfling";24;200;"bb2025"
"Star player Grombrindal";"Halfling";25;210;"bb2025"
"Star player Ivar Eriksson";"Halfling";26;245;"bb2025"
"Mercenary Merc Halfling Hopeful Lineman 1";"Halfling";27;60;"bb2025"
"Star player Karla Von Kill";"Halfling";28;210;"bb2025"
"Star player Rumbelow Sheepskin";"Halfling";29;170;"bb2025"
"the White Dwarf";"Halfling";30;210;"bb2025"
"Lineman";"High Elf";1;70;"bb2020"
"Lineman";"High Elf";1;65;"bb2025"
"High Elf Lineman";"High Elf";1;65;"bb2025"
"Thrower";"High Elf";2;100;"bb2020"
"Thrower";"High Elf";2;90;"bb2025"
"Phoenix Warrior";"High Elf";2;90;"bb2025"
"Catcher";"High Elf";3;90;"bb2020"
"Catcher";"High Elf";3;110;"bb2025"
"White Lion";"High Elf";3;110;"bb2025"
"Blitzer";"High Elf";4;100;"bb2020"
"Blitzer";"High Elf";4;110;"bb2025"
"Dragon Prince";"High Elf";4;110;"bb2025"
"rerolls";"High Elf";6;50;"bb2020"
"rerolls";"High Elf";6;50;"bb2025"
"apothecary";"High Elf";7;50;"bb2020"
"apothecary";"High Elf";7;50;"bb2025"
"1 bribe";"High Elf";8;100;"bb2020"
"1 bribe";"High Elf";8;100;"bb2025"
"assistantCoaches";"High Elf";9;10;"bb2020"
"assistantCoaches";"High Elf";9;10;"bb2025"
"1 bloodweiser keg";"High Elf";10;50;"bb2020"
"1 bloodweiser keg";"High Elf";10;50;"bb2025"
"1 team mascot";"High Elf";11;25;"bb2025"
"cheerleaders";"High Elf";20;10;"bb2020"
"cheerleaders";"High Elf";20;10;"bb2025"
"Human Lineman";"Human";1;50;"bb2020"
"Human Lineman";"Human";1;50;"bb2025"
"Thrower";"Human";2;80;"bb2020"
"Human Thrower";"Human";2;80;"bb2025"
"Catcher";"Human";3;65;"bb2020"
"Human Catcher";"Human";3;65;"bb2025"
"Blitzer";"Human";4;85;"bb2020"
"Human Blitzer";"Human";4;85;"bb2025"
"Halfling Hopeful";"Human";5;30;"bb2020"
"Halfling Hopeful";"Human";5;30;"bb2025"
"Ogre";"Human";6;140;"bb2020"
"Ogre";"Human";6;140;"bb2025"
"rerolls";"Human";7;50;"bb2020"
"rerolls";"Human";7;50;"bb2025"
"1 bribe";"Human";8;100;"bb2020"
"1 bribe";"Human";8;100;"bb2025"
"1 bloodweiser keg";"Human";9;50;"bb2020"
"1 bloodweiser keg";"Human";9;50;"bb2025"
"Star player Grombrindal";"Human";10;210;"bb2020"
"apothecary";"Human";10;50;"bb2020"
"apothecary";"Human";10;50;"bb2025"
"Star player Mighty Zug";"Human";11;220;"bb2020"
"assistantCoaches";"Human";11;10;"bb2020"
"assistantCoaches";"Human";11;10;"bb2025"
"1 team mascot";"Human";12;25;"bb2025"
"Star player Skrorg Snowpelt";"Human";12;250;"bb2020"
"the White Dwarf";"Human";13;210;"bb2020"
